Method,Labels,value,Measure
Paper Order,Bird,0.7761194029850746,Recall
Paper Order,Cattle,0.6129032258064516,Recall
Paper Order,Chicken,0.965296803652968,Recall
Paper Order,Environment,0.5428571428571428,Recall
Paper Order,Sheep,0.33695652173913043,Recall
Reshuffled,Bird,0.6865671641791045,Recall
Reshuffled,Cattle,0.6064516129032258,Recall
Reshuffled,Chicken,0.9707762557077626,Recall
Reshuffled,Environment,0.5142857142857142,Recall
Reshuffled,Sheep,0.14130434782608695,Recall
Paper Order,Bird,0.9454545454545454,Precision
Paper Order,Cattle,0.625,Precision
Paper Order,Chicken,0.9151515151515152,Precision
Paper Order,Environment,0.7037037037037037,Precision
Paper Order,Sheep,0.5636363636363636,Precision
Reshuffled,Bird,0.9387755102040817,Precision
Reshuffled,Cattle,0.5875,Precision
Reshuffled,Chicken,0.9008474576271186,Precision
Reshuffled,Environment,0.6206896551724138,Precision
Reshuffled,Sheep,0.5,Precision
