Allele,Source
17,Cattle
24,Chicken
41,Cattle
84,Chicken
109,Chicken
126,Chicken
158,Chicken
168,Chicken
170,Chicken
179,Sheep
191,Chicken
238,Chicken
251,Chicken
254,Chicken
259,Chicken
267,Cattle
294,Chicken
300,Chicken
304,Chicken
332,Chicken
340,Chicken
341,Chicken
342,Chicken
370,Chicken
390,Chicken
391,Chicken
399,Cattle
411,Chicken
419,Sheep
426,Cattle
428,Cattle
429,Cattle
430,Cattle
444,Chicken
452,Chicken
453,Chicken
454,Chicken
457,Chicken
458,Chicken
459,Chicken
460,Chicken
461,Cattle
467,Chicken
479,Chicken
484,Chicken
524,Chicken
525,Chicken
527,Chicken
528,Chicken
530,Chicken
531,Cattle
532,Cattle
533,Cattle
534,Sheep
546,Sheep
547,Sheep
548,Sheep
554,Cattle
555,Chicken
556,Chicken
567,Chicken
585,Cattle
590,Chicken
654,Chicken
670,Cattle
674,Chicken
685,Chicken
688,Cattle
692,Chicken
696,Cattle
697,Cattle
699,Chicken
700,Chicken
703,Sheep
710,Chicken
719,Cattle
728,Sheep
729,Sheep
730,Sheep
742,Chicken
743,Chicken
760,Cattle
767,Chicken
778,Chicken
781,Water
784,Chicken
791,Chicken
792,Chicken
793,Water
794,Water
795,Water
796,Water
797,Water
798,Water
800,Water
806,Chicken
811,Chicken
812,Water
815,Water
816,Water
819,Water
821,Water
822,Chicken
825,Water
826,Water
827,Water
828,Chicken
829,Chicken
832,Chicken
838,Chicken
840,Chicken
841,Chicken
852,Chicken
853,Chicken
864,Chicken
871,Chicken
874,Chicken
881,Chicken
882,Chicken
883,Chicken
885,Chicken
890,Water
894,Water
899,Chicken
900,Chicken
907,Water
909,Water
910,Water
911,Water
912,Water
914,Water
915,Water
916,Water
917,Water
919,Water
920,Water
921,Water
922,Water
923,Water
924,Water
925,Water
926,Water
927,Water
929,Water
930,Water
931,Water
932,Water
933,Water
934,Water
935,Water
936,Water
937,Water
938,Water
939,Water
940,Water
942,Water
943,Water
945,Water
946,Water
947,Water
948,Water
949,Water
950,Water
951,Water
952,Chicken
953,Chicken
958,Chicken
980,Chicken
981,Chicken
982,Chicken
983,Chicken
984,Chicken
985,Chicken
986,Chicken
987,Chicken
988,Chicken
989,Chicken
990,Chicken
991,Chicken
992,Chicken
1037,Chicken
1047,Chicken
1048,Chicken
1049,Chicken
1051,Chicken
1053,Chicken
1056,Chicken
1064,Chicken
1065,Chicken
1066,Chicken
1068,Chicken
1071,Sheep
1073,Cattle
1083,Chicken
1085,Chicken
1086,Chicken
1089,Chicken
1090,Chicken
1169,Chicken
1173,Chicken
1189,Chicken
1201,Water
1202,Water
1203,Water
1204,Water
1205,Water
1206,Water
1207,Water
1208,Water
1223,Chicken
1240,Chicken
1244,Chicken
1272,Water
1284,Chicken
1285,Chicken
1288,Chicken
1289,Chicken
1296,Chicken
1298,Chicken
1303,Cattle
1313,Cattle
1321,Cattle
1328,Cattle
1336,Chicken
1338,Chicken
1352,Chicken
1354,Chicken
1355,Chicken
1375,Sheep
1376,Sheep
1387,Cattle
1407,Cattle
1449,Chicken
1463,Sheep
1465,Chicken
1469,Chicken
1472,Chicken
1473,Chicken
1504,Chicken
1505,Chicken
1506,Chicken
1509,Chicken
1511,Chicken
1512,Chicken
1553,Chicken
1560,Chicken
1563,Chicken
1564,Chicken
1566,Chicken
1567,Chicken
1583,Cattle
1587,Cattle
1590,Chicken
1623,Cattle
1624,Sheep
1627,Chicken
1628,Chicken
1629,Chicken
1630,Chicken
1631,Chicken
1638,Cattle
1639,Sheep
1644,Chicken
1649,Chicken
1668,Chicken
1675,Chicken
1676,Chicken
1752,Water
1756,Water
1783,Chicken
2143,Chicken
2144,Chicken
2145,Chicken
2146,Chicken
2147,Chicken
2149,Water
2161,Chicken
2162,Water
2163,Chicken
2190,Chicken
2191,Chicken
2192,Chicken
2204,Sheep
2208,Chicken
2236,Chicken
2237,Chicken
2238,Chicken
2239,Chicken
2240,Chicken
2241,Chicken
2242,Chicken
2243,Chicken
2244,Water
2245,Water
2247,Chicken
2248,Chicken
2249,Chicken
2265,Water
2267,Chicken
2271,Cattle
2277,Chicken
2303,Chicken
2364,Chicken
2365,Chicken
2366,Chicken
2367,Chicken
2369,Chicken
2371,Water
2374,Chicken
2375,Chicken
2376,Chicken
2377,Chicken
2378,Chicken
2379,Cattle
2380,Cattle
2383,Water
2385,Water
2388,Water
2394,Water
2396,Sheep
2407,Chicken
2408,Water
2525,Chicken
2528,Chicken
2532,Water
2533,Water
2534,Water
2535,Water
2536,Cattle
2537,Water
2539,Water
2557,Water
2558,Water
2559,Water
2566,Water
2567,Water
2568,Water
2569,Water
2570,Water
2571,Water
2572,Water
2573,Water
2574,Water
2575,Water
2576,Water
2577,Water
2578,Water
2589,Water
2590,Water
2591,Water
2592,Water
2593,Water
2594,Water
2595,Water
2596,Water
2597,Water
2598,Water
2599,Water
2600,Water
2601,Water
2602,Water
2603,Water
2604,Water
2607,Chicken
2608,Chicken
2611,Chicken
2612,Chicken
2613,Chicken
2614,Chicken
2615,Chicken
2616,Chicken
