Source,quantile,value,Data,Genes
Beef,0.025,0.09775288504573303,Full,MLST
Beef,0.25,0.15021844497007447,Full,MLST
Beef,0.5,0.1746433326904942,Full,MLST
Beef,0.75,0.19915284058063754,Full,MLST
Beef,0.975,0.24586153637279562,Full,MLST
Poultry,0.025,0.7436408950122622,Full,MLST
Poultry,0.25,0.7910308889453013,Full,MLST
Poultry,0.5,0.8155578169132623,Full,MLST
Poultry,0.75,0.83915850237456735,Full,MLST
Poultry,0.975,0.8912605947849324,Full,MLST
Sheep,0.025,5.249844876059168e-4,Full,MLST
Sheep,0.25,0.003144686445165648,Full,MLST
Sheep,0.5,0.007111339252879864,Full,MLST
Sheep,0.75,0.014011601690038861,Full,MLST
Sheep,0.975,0.037469905010325336,Full,MLST
Beef,0.025,0.11047225063779913,Full,rMLST
Beef,0.25,0.17106296979879712,Full,rMLST
Beef,0.5,0.20089140575308423,Full,rMLST
Beef,0.75,0.23016973922409367,Full,rMLST
Beef,0.975,0.28531190215432783,Full,rMLST
Poultry,0.025,0.7054998547085483,Full,rMLST
Poultry,0.25,0.7592674526233746,Full,rMLST
Poultry,0.5,0.7882608301466902,Full,rMLST
Poultry,0.75,0.818497621473549,Full,rMLST
Poultry,0.975,0.8780956144002421,Full,rMLST
Sheep,0.025,6.567344624161857e-4,Full,rMLST
Sheep,0.25,0.003686714132873363,Full,rMLST
Sheep,0.5,0.007674992588834212,Full,rMLST
Sheep,0.75,0.01459439063336516,Full,rMLST
Sheep,0.975,0.0363407927953625,Full,rMLST
Beef,0.025,0.14746812597076184,Full,Sheppard
Beef,0.25,0.19294443614534057,Full,Sheppard
Beef,0.5,0.21655294289683477,Full,Sheppard
Beef,0.75,0.24036579298134012,Full,Sheppard
Beef,0.975,0.28684526794692733,Full,Sheppard
Poultry,0.025,0.7028523093989925,Full,Sheppard
Poultry,0.25,0.7456656820579557,Full,Sheppard
Poultry,0.5,0.7690095394990673,Full,Sheppard
Poultry,0.75,0.7913184360841925,Full,Sheppard
Poultry,0.975,0.834822412996058,Full,Sheppard
Sheep,0.025,8.457492656575869e-4,Full,Sheppard
Sheep,0.25,0.005007582646285128,Full,Sheppard
Sheep,0.5,0.010705146898363375,Full,Sheppard
Sheep,0.75,0.020002941410000415,Full,Sheppard
Sheep,0.975,0.04903236992917953,Full,Sheppard
Beef,0.025,0.12914073477524238,Full,Best_5
Beef,0.25,0.17732861818161594,Full,Best_5
Beef,0.5,0.2018693054172486,Full,Best_5
Beef,0.75,0.22549498521301078,Full,Best_5
Beef,0.975,0.2702374852236599,Full,Best_5
Poultry,0.025,0.7198165530980953,Full,Best_5
Poultry,0.25,0.7633479055202168,Full,Best_5
Poultry,0.5,0.7861532125746832,Full,Best_5
Poultry,0.75,0.8104006768974865,Full,Best_5
Poultry,0.975,0.8550478736593491,Full,Best_5
Sheep,0.025,5.29557992428664e-4,Full,Best_5
Sheep,0.25,0.003659179123842564,Full,Best_5
Sheep,0.5,0.008203951267398993,Full,Best_5
Sheep,0.75,0.01639445339391519,Full,Best_5
Sheep,0.975,0.04322811143032395,Full,Best_5
Beef,0.025,0.1174943177954474,Full,Best_10
Beef,0.25,0.1599367176794065,Full,Best_10
Beef,0.5,0.18180996594942334,Full,Best_10
Beef,0.75,0.20430258371291257,Full,Best_10
Beef,0.975,0.244250741176621,Full,Best_10
Poultry,0.025,0.7474006985739672,Full,Best_10
Poultry,0.25,0.7875540896792584,Full,Best_10
Poultry,0.5,0.8087164446563033,Full,Best_10
Poultry,0.75,0.8301421641461498,Full,Best_10
Poultry,0.975,0.8724405864153265,Full,Best_10
Sheep,0.025,4.37197019083831e-4,Full,Best_10
Sheep,0.25,0.0028728597768295843,Full,Best_10
Sheep,0.5,0.006625474596525984,Full,Best_10
Sheep,0.75,0.012957958464612795,Full,Best_10
Sheep,0.975,0.03314510149396571,Full,Best_10
Beef,0.025,0.13172642075786264,Full,Best_15
Beef,0.25,0.18010328210089602,Full,Best_15
Beef,0.5,0.20486396005077212,Full,Best_15
Beef,0.75,0.22784366830503425,Full,Best_15
Beef,0.975,0.27080624734894526,Full,Best_15
Poultry,0.025,0.7211053957519503,Full,Best_15
Poultry,0.25,0.7649236321550648,Full,Best_15
Poultry,0.5,0.7881575900914533,Full,Best_15
Poultry,0.75,0.8128540177911814,Full,Best_15
Poultry,0.975,0.8612905987301032,Full,Best_15
Sheep,0.025,4.459746806659666e-4,Full,Best_15
Sheep,0.25,0.002619093720450552,Full,Best_15
Sheep,0.5,0.005270151979741912,Full,Best_15
Sheep,0.75,0.009539285347399337,Full,Best_15
Sheep,0.975,0.023336189300547892,Full,Best_15
Beef,0.025,0.08119992904494888,Full,Best_20
Beef,0.25,0.1460491350285583,Full,Best_20
Beef,0.5,0.1729749016123795,Full,Best_20
Beef,0.75,0.20016993802299882,Full,Best_20
Beef,0.975,0.24753044125068105,Full,Best_20
Poultry,0.025,0.7461212653436582,Full,Best_20
Poultry,0.25,0.793224427697616,Full,Best_20
Poultry,0.5,0.8199278346439918,Full,Best_20
Poultry,0.75,0.8467347236765244,Full,Best_20
Poultry,0.975,0.9109323885903358,Full,Best_20
Sheep,0.025,4.6998435993260673e-4,Full,Best_20
Sheep,0.25,0.002433210077406856,Full,Best_20
