Source,quantile,value,Data,Genes
Beef,0.025,0.05977806020567516,Full,MLST
Beef,0.25,0.11922156367014941,Full,MLST
Beef,0.5,0.1500660805687298,Full,MLST
Beef,0.75,0.18060757116947473,Full,MLST
Beef,0.975,0.2358045278033776,Full,MLST
Poultry,0.025,0.7522822159828508,Full,MLST
Poultry,0.25,0.8071070414131052,Full,MLST
Poultry,0.5,0.8384094559393185,Full,MLST
Poultry,0.75,0.8676244218026489,Full,MLST
Poultry,0.975,0.9234910007865093,Full,MLST
Sheep,0.025,5.0878777925088e-4,Full,MLST
Sheep,0.25,0.0037545373174572754,Full,MLST
Sheep,0.5,0.008761726373716992,Full,MLST
Sheep,0.75,0.01718010723750342,Full,MLST
Sheep,0.975,0.04785722012734236,Full,MLST
Beef,0.025,9.353783432435128e-4,Full,rMLST
Beef,0.25,0.026750969965353824,Full,rMLST
Beef,0.5,0.06023808959534448,Full,rMLST
Beef,0.75,0.09990479757982393,Full,rMLST
Beef,0.975,0.21170325747015287,Full,rMLST
Poultry,0.025,0.6767654085431949,Full,rMLST
Poultry,0.25,0.733706841260436,Full,rMLST
Poultry,0.5,0.7607096271988472,Full,rMLST
Poultry,0.75,0.7881252817649622,Full,rMLST
Poultry,0.975,0.8411532483540584,Full,rMLST
Sheep,0.025,0.06129332295559878,Full,rMLST
Sheep,0.25,0.13455088579188018,Full,rMLST
Sheep,0.5,0.1699108079096741,Full,rMLST
Sheep,0.75,0.20525822115821238,Full,rMLST
Sheep,0.975,0.26840538288706656,Full,rMLST
Beef,0.025,0.11178700646669905,Full,Sheppard
Beef,0.25,0.1696440012716345,Full,Sheppard
Beef,0.5,0.1972964262805041,Full,Sheppard
Beef,0.75,0.22339311492436004,Full,Sheppard
Beef,0.975,0.271800085966743,Full,Sheppard
Poultry,0.025,0.704254751749917,Full,Sheppard
Poultry,0.25,0.7452189335581005,Full,Sheppard
Poultry,0.5,0.7680855545216713,Full,Sheppard
Poultry,0.75,0.790728198585964,Full,Sheppard
Poultry,0.975,0.8350736553906244,Full,Sheppard
Sheep,0.025,0.0015716032580716148,Full,Sheppard
Sheep,0.25,0.013939227556094174,Full,Sheppard
Sheep,0.5,0.03013743123110709,Full,Sheppard
Sheep,0.75,0.052365602817956214,Full,Sheppard
Sheep,0.975,0.09815275065223697,Full,Sheppard
Beef,0.025,0.1149437953364405,Full,Best_5
Beef,0.25,0.1649872355107775,Full,Best_5
Beef,0.5,0.18874080024589823,Full,Best_5
Beef,0.75,0.21360481137622261,Full,Best_5
Beef,0.975,0.2580911317716687,Full,Best_5
Poultry,0.025,0.7299205351282645,Full,Best_5
Poultry,0.25,0.7737504238282562,Full,Best_5
Poultry,0.5,0.7972068745648706,Full,Best_5
Poultry,0.75,0.8194958114891806,Full,Best_5
Poultry,0.975,0.8655030458275633,Full,Best_5
Sheep,0.025,7.786935082434061e-4,Full,Best_5
Sheep,0.25,0.004379332762873176,Full,Best_5
Sheep,0.5,0.010090991003759788,Full,Best_5
Sheep,0.75,0.020525113259231356,Full,Best_5
Sheep,0.975,0.053401439918734694,Full,Best_5
Beef,0.025,0.11276076105182191,Full,Best_10
Beef,0.25,0.1565048252032082,Full,Best_10
Beef,0.5,0.17846900645575514,Full,Best_10
Beef,0.75,0.19887563795321536,Full,Best_10
Beef,0.975,0.23792104398720842,Full,Best_10
Poultry,0.025,0.7537563962913928,Full,Best_10
Poultry,0.25,0.7903555139257427,Full,Best_10
Poultry,0.5,0.8102179471849287,Full,Best_10
Poultry,0.75,0.8311331126707622,Full,Best_10
Poultry,0.975,0.872315021876159,Full,Best_10
Sheep,0.025,5.084855016334953e-4,Full,Best_10
Sheep,0.25,0.0037908398704681167,Full,Best_10
Sheep,0.5,0.008628449523359937,Full,Best_10
Sheep,0.75,0.016124554925874814,Full,Best_10
Sheep,0.975,0.0417860996463687,Full,Best_10
Beef,0.025,0.12326559356831285,Full,Best_15
Beef,0.25,0.16666676720082843,Full,Best_15
Beef,0.5,0.18850554761502974,Full,Best_15
Beef,0.75,0.2101185861895696,Full,Best_15
Beef,0.975,0.25214468042900945,Full,Best_15
Poultry,0.025,0.7381709527307266,Full,Best_15
Poultry,0.25,0.7769749922811344,Full,Best_15
Poultry,0.5,0.7987766562936708,Full,Best_15
Poultry,0.75,0.8194683831293275,Full,Best_15
Poultry,0.975,0.8621983994295025,Full,Best_15
Sheep,0.025,5.761517657086589e-4,Full,Best_15
Sheep,0.25,0.0041144504433758685,Full,Best_15
Sheep,0.5,0.00902678746899823,Full,Best_15
Sheep,0.75,0.01723837977089918,Full,Best_15
Sheep,0.975,0.044943886760868065,Full,Best_15
Beef,0.025,0.05370666399251678,Full,Best_20
Beef,0.25,0.12067654655803342,Full,Best_20
Beef,0.5,0.1520465598566888,Full,Best_20
Beef,0.75,0.17980158800165905,Full,Best_20
Beef,0.975,0.22699407520455478,Full,Best_20
Poultry,0.025,0.7408096041162212,Full,Best_20
Poultry,0.25,0.7831054468420074,Full,Best_20
Poultry,0.5,0.8066676705787523,Full,Best_20
Poultry,0.75,0.8305048660193896,Full,Best_20
Poultry,0.975,0.8735708550675041,Full,Best_20
Sheep,0.025,0.0031171398422750437,Full,Best_20
Sheep,0.25,0.019303740880569305,Full,Best_20
Sheep,0.5,0.03876828863139676,Full,Best_20
Sheep,0.75,0.06291878447685441,Full,Best_20
Sheep,0.975,0.11344628685959027,Full,Best_20
Beef,0.025,0.023605936979218433,Full,Best_25
Beef,0.25,0.09470467430150985,Full,Best_25
Beef,0.5,0.1295138533191798,Full,Best_25
Beef,0.75,0.1620466658777924,Full,Best_25
Beef,0.975,0.22286449967620064,Full,Best_25
Poultry,0.025,0.7178667651362616,Full,Best_25
Poultry,0.25,0.7622661834832436,Full,Best_25
Poultry,0.5,0.7857545535704331,Full,Best_25
Poultry,0.75,0.810169818335899,Full,Best_25
Poultry,0.975,0.8586577147185277,Full,Best_25
Sheep,0.025,0.01108035927043943,Full,Best_25
Sheep,0.25,0.056561335296129674,Full,Best_25
Sheep,0.5,0.08399061726504385,Full,Best_25
Sheep,0.75,0.11214342260632598,Full,Best_25
Sheep,0.975,0.17104500575953346,Full,Best_25
Beef,0.025,0.02709239795700277,Full,Best_30
Beef,0.25,0.08968625731613122,Full,Best_30
Beef,0.5,0.12299485089981882,Full,Best_30
Beef,0.75,0.1588829470118899,Full,Best_30
Beef,0.975,0.22447307699152433,Full,Best_30
Poultry,0.025,0.7099704488230745,Full,Best_30
Poultry,0.25,0.7555626395311051,Full,Best_30
Poultry,0.5,0.7802890673786551,Full,Best_30
Poultry,0.75,0.8041954164537883,Full,Best_30
Poultry,0.975,0.8545631583922502,Full,Best_30
Sheep,0.025,0.016103153657101847,Full,Best_30
Sheep,0.25,0.06549228050568863,Full,Best_30
Sheep,0.5,0.09468399154404286,Full,Best_30
Sheep,0.75,0.1237726006270268,Full,Best_30
Sheep,0.975,0.18033476486034958,Full,Best_30
Beef,0.025,0.02204185058583162,Full,Best_35
Beef,0.25,0.07431978690402938,Full,Best_35
Beef,0.5,0.10633840300743608,Full,Best_35
Beef,0.75,0.13893667406971388,Full,Best_35
Beef,0.975,0.21609066063665233,Full,Best_35
Poultry,0.025,0.6967467705569137,Full,Best_35
Poultry,0.25,0.7533099648138742,Full,Best_35
Poultry,0.5,0.7781550099999777,Full,Best_35
Poultry,0.75,0.8023063043760662,Full,Best_35
Poultry,0.975,0.8508215374259908,Full,Best_35
Sheep,0.025,0.035985478473069585,Full,Best_35
Sheep,0.25,0.08706781448660092,Full,Best_35
Sheep,0.5,0.11349238454487531,Full,Best_35
Sheep,0.75,0.13974435292984924,Full,Best_35
Sheep,0.975,0.1929444403314172,Full,Best_35
Beef,0.025,0.012265442872724026,Full,Best_40
Beef,0.25,0.06175327663835665,Full,Best_40
Beef,0.5,0.09658996903917687,Full,Best_40
Beef,0.75,0.1324821595889552,Full,Best_40
Beef,0.975,0.1997900119226317,Full,Best_40
Poultry,0.025,0.6853007794674982,Full,Best_40
Poultry,0.25,0.7324650434429961,Full,Best_40
Poultry,0.5,0.757219337322359,Full,Best_40
Poultry,0.75,0.7821377061958379,Full,Best_40
Poultry,0.975,0.8299754752055757,Full,Best_40
Sheep,0.025,0.06511141474260307,Full,Best_40
Sheep,0.25,0.11456454011035606,Full,Best_40
Sheep,0.5,0.14190211635419359,Full,Best_40
Sheep,0.75,0.17104156983084168,Full,Best_40
Sheep,0.975,0.23380378678468136,Full,Best_40
Beef,0.025,0.007877428493841335,Full,Best_45
Beef,0.25,0.03940503658243981,Full,Best_45
Beef,0.5,0.066161441425656,Full,Best_45
Beef,0.75,0.09531511598521028,Full,Best_45
Beef,0.975,0.15509336084356481,Full,Best_45
Poultry,0.025,0.6550143706494176,Full,Best_45
Poultry,0.25,0.7078788818672246,Full,Best_45
Poultry,0.5,0.7343327739305605,Full,Best_45
Poultry,0.75,0.7584859382385435,Full,Best_45
Poultry,0.975,0.8035709552508385,Full,Best_45
Sheep,0.025,0.11491944540060506,Full,Best_45
Sheep,0.25,0.16521655525032222,Full,Best_45
Sheep,0.5,0.19581018292285607,Full,Best_45
Sheep,0.75,0.22650610450648956,Full,Best_45
Sheep,0.975,0.2932205540412139,Full,Best_45
Beef,0.025,0.005505532614661534,Full,Best_50
Beef,0.25,0.032543059771311354,Full,Best_50
Beef,0.5,0.05559745200625034,Full,Best_50
Beef,0.75,0.0826769129685041,Full,Best_50
Beef,0.975,0.14502895228719823,Full,Best_50
Poultry,0.025,0.6666574419774121,Full,Best_50
