Ordering,Fold,method,uses_unique,Source,prediction,n,N,prop
Sheep,Fold1,CA,No,Beef,Beef,637,1095,0.5817351598173516
Sheep,Fold1,CA,No,Beef,Poultry,157,1095,0.14337899543378996
Sheep,Fold1,CA,No,Beef,Sheep,301,1095,0.27488584474885847
Sheep,Fold1,CA,No,Poultry,Beef,110,1674,0.06571087216248507
Sheep,Fold1,CA,No,Poultry,Poultry,1483,1674,0.8859020310633214
Sheep,Fold1,CA,No,Poultry,Sheep,81,1674,0.04838709677419355
Sheep,Fold1,CA,No,Sheep,Beef,466,1553,0.30006439150032194
Sheep,Fold1,CA,No,Sheep,Poultry,158,1553,0.10173857050869285
Sheep,Fold1,CA,No,Sheep,Sheep,929,1553,0.5981970379909852
Sheep,Fold1,CA,Yes,Beef,Beef,303,555,0.5459459459459459
Sheep,Fold1,CA,Yes,Beef,Poultry,107,555,0.1927927927927928
Sheep,Fold1,CA,Yes,Beef,Sheep,145,555,0.26126126126126126
Sheep,Fold1,CA,Yes,Poultry,Beef,157,376,0.4175531914893617
Sheep,Fold1,CA,Yes,Poultry,Poultry,149,376,0.3962765957446808
Sheep,Fold1,CA,Yes,Poultry,Sheep,70,376,0.18617021276595744
Sheep,Fold1,CA,Yes,Sheep,Beef,206,347,0.5936599423631124
Sheep,Fold1,CA,Yes,Sheep,Poultry,30,347,0.08645533141210375
Sheep,Fold1,CA,Yes,Sheep,Sheep,111,347,0.31988472622478387
Sheep,Fold1,ranger,No,Beef,Beef,637,1095,0.5817351598173516
Sheep,Fold1,ranger,No,Beef,Poultry,157,1095,0.14337899543378996
Sheep,Fold1,ranger,No,Beef,Sheep,301,1095,0.27488584474885847
Sheep,Fold1,ranger,No,Poultry,Beef,109,1674,0.06511350059737156
Sheep,Fold1,ranger,No,Poultry,Poultry,1484,1674,0.8864994026284349
Sheep,Fold1,ranger,No,Poultry,Sheep,81,1674,0.04838709677419355
Sheep,Fold1,ranger,No,Sheep,Beef,466,1553,0.30006439150032194
Sheep,Fold1,ranger,No,Sheep,Poultry,158,1553,0.10173857050869285
Sheep,Fold1,ranger,No,Sheep,Sheep,929,1553,0.5981970379909852
Sheep,Fold1,ranger,Yes,Beef,Beef,257,555,0.46306306306306305
Sheep,Fold1,ranger,Yes,Beef,Poultry,21,555,0.03783783783783784
Sheep,Fold1,ranger,Yes,Beef,Sheep,277,555,0.4990990990990991
Sheep,Fold1,ranger,Yes,Poultry,Beef,164,376,0.43617021276595747
Sheep,Fold1,ranger,Yes,Poultry,Poultry,49,376,0.13031914893617022
Sheep,Fold1,ranger,Yes,Poultry,Sheep,163,376,0.43351063829787234
Sheep,Fold1,ranger,Yes,Sheep,Beef,157,347,0.45244956772334294
Sheep,Fold1,ranger,Yes,Sheep,Poultry,6,347,0.01729106628242075
Sheep,Fold1,ranger,Yes,Sheep,Sheep,184,347,0.5302593659942363
Sheep,Fold2,CA,No,Beef,Beef,494,1104,0.447463768115942
Sheep,Fold2,CA,No,Beef,Poultry,228,1104,0.20652173913043478
Sheep,Fold2,CA,No,Beef,Sheep,382,1104,0.34601449275362317
Sheep,Fold2,CA,No,Poultry,Beef,84,1689,0.0497335701598579
Sheep,Fold2,CA,No,Poultry,Poultry,1405,1689,0.8318531675547661
Sheep,Fold2,CA,No,Poultry,Sheep,200,1689,0.11841326228537596
Sheep,Fold2,CA,No,Sheep,Beef,344,1507,0.22826808228268083
Sheep,Fold2,CA,No,Sheep,Poultry,137,1507,0.09090909090909091
Sheep,Fold2,CA,No,Sheep,Sheep,1026,1507,0.6808228268082283
Sheep,Fold2,CA,Yes,Beef,Beef,357,596,0.5989932885906041
Sheep,Fold2,CA,Yes,Beef,Poultry,98,596,0.1644295302013423
Sheep,Fold2,CA,Yes,Beef,Sheep,141,596,0.23657718120805368
Sheep,Fold2,CA,Yes,Poultry,Beef,86,361,0.23822714681440443
