Ordering,Fold,method,uses_unique,Source,prediction,n,N,prop
Sheep,Fold1,CA,No,Beef,Beef,6171,10765,0.5732466326056666
Sheep,Fold1,CA,No,Poultry,Poultry,14456,16546,0.8736854828961682
Sheep,Fold1,CA,No,Sheep,Sheep,8793,15058,0.5839420905830788
Sheep,Fold1,CA,Yes,Beef,Beef,3241,5735,0.56512641673932
Sheep,Fold1,CA,Yes,Poultry,Poultry,1706,3954,0.43146181082448154
Sheep,Fold1,CA,Yes,Sheep,Sheep,1467,3942,0.3721461187214612
Sheep,Fold1,PCO,No,Beef,Beef,7123,12263,0.5808529723558672
Sheep,Fold1,PCO,No,Poultry,Poultry,14917,17670,0.844199207696661
Sheep,Fold1,PCO,No,Sheep,Sheep,9824,16319,0.6019976714259452
Sheep,Fold1,PCO,Yes,Beef,Beef,2018,4237,0.47628038706632053
Sheep,Fold1,PCO,Yes,Poultry,Poultry,1095,2830,0.3869257950530035
Sheep,Fold1,PCO,Yes,Sheep,Sheep,1380,2681,0.51473330846699
Sheep,Fold2,CA,No,Beef,Beef,5027,10953,0.4589610152469643
Sheep,Fold2,CA,No,Poultry,Poultry,13952,16711,0.8348991682125546
Sheep,Fold2,CA,No,Sheep,Sheep,10249,14958,0.6851851851851852
Sheep,Fold2,CA,Yes,Beef,Beef,3363,6047,0.5561435422523565
Sheep,Fold2,CA,Yes,Poultry,Poultry,2336,3789,0.6165215096331486
Sheep,Fold2,CA,Yes,Sheep,Sheep,1312,3542,0.370412196499153
Sheep,Fold2,PCO,No,Beef,Beef,5820,12483,0.4662340783465513
Sheep,Fold2,PCO,No,Poultry,Poultry,14545,17505,0.8309054555841188
Sheep,Fold2,PCO,No,Sheep,Sheep,10592,15596,0.679148499615286
Sheep,Fold2,PCO,Yes,Beef,Beef,2040,4517,0.4516271861855214
Sheep,Fold2,PCO,Yes,Poultry,Poultry,1548,2995,0.5168614357262103
Sheep,Fold2,PCO,Yes,Sheep,Sheep,1172,2904,0.4035812672176309
Sheep,Fold3,CA,No,Beef,Beef,5890,12533,0.46995930742838904
Sheep,Fold3,CA,No,Poultry,Poultry,15750,17852,0.8822540891776832
Sheep,Fold3,CA,No,Sheep,Sheep,11260,15743,0.7152385187067268
Sheep,Fold3,CA,Yes,Beef,Beef,2260,4467,0.5059323931049922
Sheep,Fold3,CA,Yes,Poultry,Poultry,1414,2648,0.533987915407855
Sheep,Fold3,CA,Yes,Sheep,Sheep,1621,3257,0.4976972674240098
Sheep,Fold3,PCO,No,Beef,Beef,6495,13733,0.4729483725333139
Sheep,Fold3,PCO,No,Poultry,Poultry,15779,18438,0.855786961709513
Sheep,Fold3,PCO,No,Sheep,Sheep,11815,16687,0.7080361958410739
Sheep,Fold3,PCO,Yes,Beef,Beef,1606,3267,0.49158249158249157
Sheep,Fold3,PCO,Yes,Poultry,Poultry,1033,2062,0.5009699321047527
Sheep,Fold3,PCO,Yes,Sheep,Sheep,1214,2313,0.5248594898400346
Sheep,Fold4,CA,No,Beef,Beef,6861,11007,0.6233306077950396
Sheep,Fold4,CA,No,Poultry,Poultry,14168,17240,0.8218097447795824
Sheep,Fold4,CA,No,Sheep,Sheep,10305,14303,0.7204782213521639
Sheep,Fold4,CA,Yes,Beef,Beef,2967,5493,0.5401419989077008
Sheep,Fold4,CA,Yes,Poultry,Poultry,1621,3260,0.497239263803681
Sheep,Fold4,CA,Yes,Sheep,Sheep,2065,4197,0.4920181081725042
Sheep,Fold4,PCO,No,Beef,Beef,7702,12310,0.6256701868399676
Sheep,Fold4,PCO,No,Poultry,Poultry,14832,18094,0.8197192439482701
Sheep,Fold4,PCO,No,Sheep,Sheep,10754,15233,0.7059673078185519
Sheep,Fold4,PCO,Yes,Beef,Beef,1946,4190,0.4644391408114558
Sheep,Fold4,PCO,Yes,Poultry,Poultry,1053,2406,0.4376558603491272
Sheep,Fold4,PCO,Yes,Sheep,Sheep,1674,3267,0.512396694214876
Sheep,Fold5,CA,No,Beef,Beef,6675,12383,0.5390454655576193
Sheep,Fold5,CA,No,Poultry,Poultry,13891,17386,0.7989761877372599
Sheep,Fold5,CA,No,Sheep,Sheep,11010,14085,0.7816826411075612
Sheep,Fold5,CA,Yes,Beef,Beef,2436,4617,0.5276153346328785
Sheep,Fold5,CA,Yes,Poultry,Poultry,1964,3114,0.6307000642260758
Sheep,Fold5,CA,Yes,Sheep,Sheep,2082,4415,0.47157417893544734
