allele,allele2,distance
484,484,0
484,495,25
484,13,14
484,17,20
484,u_49,14
484,159,16
484,43,19
484,u_51,19
484,812,19
484,115,24
495,484,25
495,495,0
495,13,27
495,17,29
495,u_49,17
495,159,27
495,43,28
495,u_51,23
495,812,28
495,115,10
13,484,14
13,495,27
13,13,0
13,17,20
13,u_49,22
13,159,10
13,43,17
13,u_51,7
13,812,17
13,115,24
17,484,20
17,495,29
17,13,20
17,17,0
17,u_49,18
17,159,18
17,43,21
17,u_51,23
17,812,23
17,115,28
u_49,484,14
u_49,495,17
u_49,13,22
u_49,17,18
u_49,u_49,0
u_49,159,20
u_49,43,21
u_49,u_51,25
u_49,812,21
u_49,115,20
159,484,16
159,495,27
159,13,10
159,17,18
159,u_49,20
159,159,0
159,43,11
159,u_51,13
159,812,13
159,115,24
43,484,19
43,495,28
43,13,17
43,17,21
43,u_49,21
43,159,11
43,43,0
43,u_51,22
43,812,6
43,115,29
u_51,484,19
u_51,495,23
u_51,13,7
u_51,17,23
u_51,u_49,25
u_51,159,13
u_51,43,22
u_51,u_51,0
u_51,812,22
u_51,115,23
812,484,19
812,495,28
812,13,17
812,17,23
812,u_49,21
812,159,13
812,43,6
812,u_51,22
812,812,0
812,115,29
115,484,24
115,495,10
115,13,24
115,17,28
115,u_49,20
115,159,24
115,43,29
115,u_51,23
115,812,29
115,115,0
